requirement_id,section,source_digest,modal,work_packages,test_or_gate,artifact,owner,feature,heading,statement
REQ-0-8cdfff3f-72a586443dfcc186,0,72a586443dfcc18633026bfc96c69dce3456315f4df4a88d9fd0226d20e74593,MUST-ONLY-IF,WP-01,docs-structure; acceptance-validation; traceability-validation,docs/requirements/2026-09-04-contexpect-complete-product-requirements.md,architecture,NA,0. 文档约定,所有标为“必须”的能力都进入同一完成合同，只有全部工作包集成并通过最终验收，项目才算做完。
REQ-3-d73b1bf3-a242a0028831cf80,3,a242a0028831cf809e56f8c0df3cdec45c90dcf51381da053e9d8711bdc9868c,MUST-NOT,WP-01,docs-structure,docs/architecture/data-and-truth-model.md,architecture,NA,3. 产品原则,9. 确定性检查和 LLM 建议分开：前者可进 CI，后者不得作为唯一门禁。
REQ-4.1-778e2d11-64df3e697fda7ee0,4.1,64df3e697fda7ee04209447b880b39bf4283405e18ae0b9df9774593bc8a3d1e,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.1 Context item 六个证据 Facet,UI 不能用一个绿色“Active”覆盖这六个 facet，也不能暗示前一项必然推出后一项。
REQ-4.4-cc6bb3fb-8d1b608e175e6e10,4.4,8d1b608e175e6e1028f79a6acb3da19503622c1836f43902566221c9fcbb103d,MUST-AND-MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.4 多轴 Claim 与证据标签,标签不能压成单个互斥枚举，必须分别表达：
REQ-4.4-cc6bb3fb-6ab349595447422c,4.4,6ab349595447422c8a74b2a743e33f2e2696786de0b479192f841a97cac1a8cb,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.4 多轴 Claim 与证据标签,`behavior-consistent`：行为与规则一致，但不能证明由该规则导致。
REQ-4.4-cc6bb3fb-b34ca58d09708a53,4.4,b34ca58d09708a53460c2b144df4b4375bd1d5fdd0117f35d2c8595843e91a42,MUST,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.4 多轴 Claim 与证据标签,所有 `indeterminate/unknown/stale/conflicted` 必须给 reason code。
REQ-4.4-cc6bb3fb-be4f76a5241d7d58,4.4,be4f76a5241d7d58785582d9f6424e2bb3c4d7a176b363eed212ec6cc4201e21,MUST,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.4 多轴 Claim 与证据标签,UI 可用组合徽标，但任何 summary 都必须能展开到完整多轴 claim。
REQ-4.5-e4b47eba-1cb6b53fcb6b17e4,4.5,1cb6b53fcb6b17e4fd0ebf5a0948073a0f8bdae3885f609d5b672bff3c7528a7,MUST,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,WP-01 必须生成机器可读 `acceptance/claim-validity-matrix.yaml`，至少执行以下不变量：
REQ-4.5-e4b47eba-2cafb33eacb224bf,4.5,2cafb33eacb224bf1c73fa65baca2710003330a3d61a9683c2baa27c857bc2dd,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,`resolved` 可对 installed/discoverable/eligible 给出 present/absent；不能仅凭规范把 model-visible、use-evidence 或 outcome-affecting 写成 present。
REQ-4.5-e4b47eba-0691de852f5e8ef4,4.5,0691de852f5e8ef49cd491f14aa7e2459db680c4de48ec2fb04cd5b69f45fcb9,MUST-NOT,WP-01,claim tuple accuracy; native oracle reconciliation,acceptance/claim-validity-matrix.yaml; acceptance/context-capability-matrix.yaml,product-core,NA,4.5 Claim 合法组合与核对优先级,use-evidence 的三类外部线索分别记录；任何线索都不能把 internal-attribution 改为 present。
